id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre
71479,"Santo Amaro - Catete, Rio de Janeiro - RJ, 22211-230, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CATETE,,SANTO AMARO,-22.92382483,-43.18047167,"15/05/2025, 12:52:00",true,true,PC (DESARME); PC (DRE),Ação policial,,,false
71486,"Jacarezinho, Rio de Janeiro - RJ, 20973-150, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,JACAREZINHO,,JACAREZINHO,-22.883844150667745,-43.25500029865724,"16/05/2025, 04:45:00",true,true,PM (3 BPM),Ação policial,,,false
71494,"Complexo do Fuba, Cascadura, Rio de Janeiro - RJ, 21311-050, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CASCADURA,,COMPLEXO DO FUBA,-22.8852319,-43.3319492,"16/05/2025, 15:30:00",false,false,,Disputa,,,false
71500,"Rua Corrêa de Oliveira, Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA ISABEL,,MORRO DOS MACACOS,-22.911623,-43.2478718,"16/05/2025, 18:00:00",false,false,,Não identificado,,,false
71500,"Rua Corrêa de Oliveira, Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA ISABEL,,MORRO DOS MACACOS,-22.911623,-43.2478718,"16/05/2025, 18:00:00",false,false,,Não identificado,,,false
71512,"Brás de Pina, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,BRAS DE PINA,,,-22.8344389,-43.3027813,"18/05/2025, 03:54:00",false,false,,Não identificado,,,false
71519,"Morro dos Macacos, Vila Isabel - Rio de Janeiro, RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA ISABEL,,MORRO DOS MACACOS,-22.90971340666353,-43.25841195106506,"18/05/2025, 13:20:00",false,false,,Não identificado,,,false
71527,"Cidade de Deus, Cidade de Deus, Rio de Janeiro - RJ, 22772-400, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CIDADE DE DEUS,,CIDADE DE DEUS,-22.9481697,-43.3626709,"19/05/2025, 05:30:00",true,true,PC (CORE); PC (DECON); PC (DPMA); PC (SUPCCA),Ação policial,,,false
71546,"Morro do Escondidinho - Santa Teresa, Rio de Janeiro - RJ, 20261-115, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,SANTA TERESA,,MORRO DO ESCONDIDINHO,-22.93046953,-43.2024603,"19/05/2025, 07:00:00",true,true,PC (DEAT),Ação policial,,,false
71540,"Favela Para Pedro, rua São Jorge, Colégio, Rio de Janeiro - RJ, 21235-415, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,COLEGIO,,FAVELA PARA PEDRO,-22.8359061,-43.3316174,"19/05/2025, 07:00:00",true,true,PM (41 BPM),Ação policial,,,false
71552,"R. Prof. Castro Rebelo, Guaratiba, Rio de Janeiro - RJ, 23020-070, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,GUARATIBA,,,-22.9959372,-43.5357598,"19/05/2025, 17:30:00",false,false,,Homicidio/Tentativa,,,false
