id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,civilians_dead,civilians_wounded,agents_dead,agents_wounded,men_dead,men_wounded,women_dead,women_wounded,kids_dead,kids_wounded,teenagers_dead,teenagers_wounded,elderly_dead,elderly_wounded,neighborhood_cleaned
31146,"Complexo do Chapadão, Costa Barros, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,COSTA BARROS,,COMPLEXO DO CHAPADAO,-22.8229118,-43.3767869,"08/10/2019, 00:57:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,costa barros
31147,"Malvinas, Vila Kennedy, Rio de Janeiro - RJ, 21850-020, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA KENNEDY,,VILA KENNEDY,-22.8622904,-43.4865673,"08/10/2019, 02:59:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vila kennedy
31152,"Jardim Catarina, São Gonçalo - RJ, Brasil",Sudeste,Rio de Janeiro,São Gonçalo,JARDIM CATARINA,,,-22.7921669,-42.9997977,"08/10/2019, 03:00:00",True,True,PC,Operação policial,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jardim catarina
31148,"Complexo do Lins, Lins de Vasconcelos, Rio de Janeiro - RJ, 20725-140, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,LINS DE VASCONCELOS,,COMPLEXO DO LINS,-22.9196001,-43.2855347,"08/10/2019, 03:50:00",True,True,N�o identificado,Ação policial,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lins de vasconcelos
31151,"Mato Alto, Praça Seca, Rio de Janeiro - RJ, 21321-802, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,PRACA SECA,,MATO ALTO,-22.9085497,-43.3645831,"08/10/2019, 04:45:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,praca seca
31149,"Morro da Quitanda - Costa Barros, Rio de Janeiro - RJ, 21532-070, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,COSTA BARROS,,MORRO DA QUITANDA (COMPLEXO DA PEDREIRA),-22.819362,-43.366922,"08/10/2019, 04:55:00",True,True,N�o identificado,Operação policial,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,costa barros
31156,"Morro da Serrinha, Madureira, Rio de Janeiro - RJ, 21360, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,MADUREIRA,,MORRO DA SERRINHA (COMPLEXO DA SERRINHA),-22.8675722,-43.3252865,"08/10/2019, 05:42:00",True,True,N�o identificado,Ação policial,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,madureira
31160,"Av. das Américas - Barra da Tijuca, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,BARRA DA TIJUCA,,,-23.0007532,-43.3837713,"08/10/2019, 06:00:00",False,False,,Homicidio/Tentativa,,,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,barra da tijuca
31161,"Favela da Guacha - Glaucia, Belford Roxo - RJ, 26195-300, Brasil",Sudeste,Rio de Janeiro,Belford Roxo,GLAUCIA,,FAVELA DA GUACHA,-22.756625,-43.351391,"08/10/2019, 10:27:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,glaucia
31162,"R. Fernando Mendes - Itaupuaçu, Maricá - RJ, 24942-395, Brasil",Sudeste,Rio de Janeiro,Maricá,INOA,,FAVELINHA DO RISCA A FACA,-22.9138157,-42.9356821,"08/10/2019, 11:19:00",True,True,N�o identificado,Ação policial,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inoa
31163,"Amendoeira, São Gonçalo - RJ, Brasil",Sudeste,Rio de Janeiro,São Gonçalo,AMENDOEIRA,,,-22.8297603,-42.9833145,"08/10/2019, 13:04:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,amendoeira
31166,"Parque Alegria - Caju, Rio de Janeiro - RJ, 20930-040, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CAJU,,PARQUE ALEGRIA (COMPLEXO DO CAJU),-22.882014,-43.2236713,"08/10/2019, 13:30:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,caju
31165,"Barreira do Vasco - São Cristóvão, Rio de Janeiro - RJ, 20921-340, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,SAO CRISTOVAO,,BARREIRA DO VASCO,-22.8887168,-43.2290004,"08/10/2019, 14:20:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sao cristovao
31169,"Morro da Serrinha, Madureira, Rio de Janeiro - RJ, 21360, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,MADUREIRA,,MORRO DA SERRINHA (COMPLEXO DA SERRINHA),-22.8675722,-43.3252865,"08/10/2019, 17:21:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,madureira
31172,"Itaguaí, RJ, Brasil",Sudeste,Rio de Janeiro,Itaguaí,NI,,,-22.8631923,-43.7779091,"08/10/2019, 18:23:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ni
31171,"Miriambi, São Gonçalo - RJ, Brasil",Sudeste,Rio de Janeiro,São Gonçalo,MIRIAMBI,,,-22.8233382,-42.9866413,"08/10/2019, 19:02:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,miriambi
31174,"Morro da Serrinha, Madureira, Rio de Janeiro - RJ, 21360-320, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,MADUREIRA,,MORRO DA SERRINHA (COMPLEXO DA SERRINHA),-22.867538,-43.327339,"08/10/2019, 19:40:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,madureira
31175,"R. Congo, Vila Kennedy, Bangu, Rio de Janeiro - RJ, 21852-580, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA KENNEDY,,VILA KENNEDY,-22.8622983,-43.4914814,"08/10/2019, 20:10:00",True,True,N�o identificado,Operação policial,,,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,vila kennedy
31179,"R. Alcobaça - Anchieta, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,ANCHIETA,,FAVELA DO JAVALI (COMPLEXO DO CHAPADAO),-22.8268424,-43.3921702,"08/10/2019, 21:18:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anchieta
31177,"Vila Kennedy - Bangu, Rio de Janeiro - RJ, 21850-007, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA KENNEDY,,VILA KENNEDY,-22.8604006,-43.4884116,"08/10/2019, 21:21:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vila kennedy
31178,"Vila Progresso, Vila Kennedy, Rio de Janeiro - RJ, 21852-415, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA KENNEDY,,VILA KENNEDY,-22.8614271,-43.4952227,"09/10/2019, 00:15:00",True,True,N�o identificado,Ação policial,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vila kennedy
