,servico,mes_previsto,previsao_furtos,previsao_roubos,previsao_tiroteios_30d,media_furtos_12m,media_roubos_12m,media_tiroteios_12m,periodo_tiroteio_inicio,periodo_tiroteio_fim,score_risco,z_score,nivel_risco
262,822,2026-04,9.49,4.77,3.25,11.75,2.83,1.92,2026-04-01,2026-04-30,0.09551934826883911,-1.5233503966191566,baixo
263,825,2026-04,16.98,6.69,8.39,18.75,4.0,5.5,2026-04-01,2026-04-30,0.28630346232179227,-0.8066258943424137,baixo
264,826,2026-04,9.49,4.77,3.25,11.75,2.83,2.42,2026-04-01,2026-04-30,0.09551934826883911,-1.5233503966191566,baixo
265,829,2026-04,48.68,5.28,3.01,49.17,9.17,3.0,2026-04-01,2026-04-30,0.1554989816700611,-1.2980230777822195,baixo
266,830,2026-04,9.49,4.77,3.25,11.75,2.83,1.92,2026-04-01,2026-04-30,0.09551934826883911,-1.5233503966191566,baixo
267,831,2026-04,34.99,2.45,6.26,36.0,8.17,3.75,2026-04-01,2026-04-30,0.18034623217922607,-1.204678653679991,baixo
268,833,2026-04,16.98,6.69,7.37,18.75,4.0,4.33,2026-04-01,2026-04-30,0.25972505091649695,-0.9064738234025844,baixo
269,834,2026-04,13.14,7.42,3.34,13.25,3.42,3.17,2026-04-01,2026-04-30,0.18727087576374746,-1.1786646338482223,baixo
270,835,2026-04,13.14,7.42,3.34,13.25,3.42,3.17,2026-04-01,2026-04-30,0.18727087576374746,-1.1786646338482223,baixo
271,836,2026-04,9.49,4.77,3.25,11.75,2.83,1.92,2026-04-01,2026-04-30,0.09551934826883911,-1.5233503966191566,baixo
272,837,2026-04,9.49,4.77,3.25,11.75,2.83,1.92,2026-04-01,2026-04-30,0.09551934826883911,-1.5233503966191566,baixo
273,838,2026-04,13.14,7.42,3.34,13.25,3.42,3.17,2026-04-01,2026-04-30,0.18727087576374746,-1.1786646338482223,baixo
274,840,2026-04,16.98,6.69,8.39,18.75,4.0,5.5,2026-04-01,2026-04-30,0.28630346232179227,-0.8066258943424137,baixo
275,841,2026-04,9.49,4.77,4.18,11.75,2.83,2.67,2026-04-01,2026-04-30,0.12362525458248472,-1.4177640808313898,baixo
276,842,2026-04,16.98,6.69,7.37,18.75,4.0,4.33,2026-04-01,2026-04-30,0.25972505091649695,-0.9064738234025844,baixo
277,843,2026-04,9.49,4.77,3.25,11.75,2.83,1.92,2026-04-01,2026-04-30,0.09551934826883911,-1.5233503966191566,baixo
278,844,2026-04,48.32,0.0,2.83,47.75,10.75,2.58,2026-04-01,2026-04-30,0.09821792260692463,-1.5132125800670704,baixo
279,845,2026-04,13.14,7.42,3.25,13.25,3.42,1.92,2026-04-01,2026-04-30,0.17718940936863545,-1.2165379862503558,baixo
280,846,2026-04,9.49,4.77,3.25,11.75,2.83,1.92,2026-04-01,2026-04-30,0.09551934826883911,-1.5233503966191566,baixo
281,847,2026-04,9.49,4.77,3.25,11.75,2.83,1.92,2026-04-01,2026-04-30,0.09551934826883911,-1.5233503966191566,baixo
282,848,2026-04,9.49,4.77,3.25,11.75,2.83,2.08,2026-04-01,2026-04-30,0.09551934826883911,-1.5233503966191566,baixo
283,849,2026-04,16.98,6.69,8.39,18.75,4.0,5.5,2026-04-01,2026-04-30,0.28630346232179227,-0.8066258943424137,baixo
284,850,2026-04,9.49,4.77,3.25,11.75,2.83,1.92,2026-04-01,2026-04-30,0.09551934826883911,-1.5233503966191566,baixo
285,851,2026-04,9.49,4.77,3.25,11.75,2.83,2.08,2026-04-01,2026-04-30,0.09551934826883911,-1.5233503966191566,baixo
